group,salicylate,time,,,,,,,
normal,8190,210,,,,,,,
normal,14160,210,,,,,,,
normal,18700,210,,,,,,,
normal,15975,210,,,,,,,
normal,8060,210,,,,,,,
normal,30000,210,,,,,,,
normal,9280,210,,,,,,,
normal,12780,210,,,,,,,
normal,19750,210,,,,,,,
normal,17600,210,,,,,,,
